,pokemon,id,form,rank,move,raito
0,ピカチュウ,25,0,1,ボルテッカー,51.7
1,ピカチュウ,25,0,2,１０まんボルト,29.6
2,ピカチュウ,25,0,3,ねこだまし,28.6
3,ピカチュウ,25,0,4,くさむすび,27.9
4,ピカチュウ,25,0,5,なみのり,25.7
5,ピカチュウ,25,0,6,ほっぺすりすり,23.2
6,ピカチュウ,25,0,7,でんこうせっか,23.1
7,ピカチュウ,25,0,8,くさわけ,22.3
8,ピカチュウ,25,0,9,アンコール,20.7
9,ピカチュウ,25,0,10,テラバースト,20.3
10,ライチュウ,26,0,1,ほっぺすりすり,71.3
11,ライチュウ,26,0,2,アンコール,56.9
12,ライチュウ,26,0,3,ひかりのかべ,48.9
13,ライチュウ,26,0,4,リフレクター,47.4
14,ライチュウ,26,0,5,１０まんボルト,35.6
15,ライチュウ,26,0,6,なみのり,25.1
16,ライチュウ,26,0,7,ボルトチェンジ,16.7
17,ライチュウ,26,0,8,テラバースト,15.7
18,ライチュウ,26,0,9,わるだくみ,11.6
19,ライチュウ,26,0,10,くさむすび,6.5
20,プリン,39,0,1,ほろびのうた,67.8
21,プリン,39,0,2,アンコール,57.1
22,プリン,39,0,3,まもる,39.7
23,プリン,39,0,4,ステルスロック,38.4
24,プリン,39,0,5,うたう,31.3
25,プリン,39,0,6,チャームボイス,26.2
26,プリン,39,0,7,ねがいごと,15.3
27,プリン,39,0,8,ひやみず,14.3
28,プリン,39,0,9,かなしばり,13.3
29,プリン,39,0,10,リフレクター,12.5
30,プクリン,40,0,1,マジカルシャイン,50.9
31,プクリン,40,0,2,ステルスロック,40.8
32,プクリン,40,0,3,アンコール,29.0
33,プクリン,40,0,4,ほろびのうた,23.9
34,プクリン,40,0,5,でんじは,22.7
35,プクリン,40,0,6,だいもんじ,16.0
36,プクリン,40,0,7,じゅうりょく,15.4
37,プクリン,40,0,8,かえんほうしゃ,15.2
38,プクリン,40,0,9,まもる,14.4
39,プクリン,40,0,10,うたう,14.3
40,コンパン,48,0,1,ねむりごな,72.5
41,コンパン,48,0,2,こうそくいどう,59.4
42,コンパン,48,0,3,バトンタッチ,52.7
43,コンパン,48,0,4,ナイトヘッド,40.6
44,コンパン,48,0,5,とびつく,25.1
45,コンパン,48,0,6,しびれごな,20.3
46,コンパン,48,0,7,きゅうけつ,17.4
47,コンパン,48,0,8,どくびし,15.5
48,コンパン,48,0,9,どくのこな,15.0
49,コンパン,48,0,10,あさのひざし,12.1
50,モルフォン,49,0,1,ちょうのまい,92.9
51,モルフォン,49,0,2,むしのさざめき,72.7
52,モルフォン,49,0,3,ねむりごな,51.0
53,モルフォン,49,0,4,ヘドロばくだん,39.1
54,モルフォン,49,0,5,バトンタッチ,32.2
55,モルフォン,49,0,6,みがわり,24.4
56,モルフォン,49,0,7,テラバースト,12.1
57,モルフォン,49,0,8,ギガドレイン,12.1
58,モルフォン,49,0,9,サイコキネシス,12.0
59,モルフォン,49,0,10,かなしばり,9.2
60,ディグダ,50,0,1,じわれ,61.8
61,ディグダ,50,0,2,ふいうち,52.6
62,ディグダ,50,0,3,すなあらし,28.9
63,ディグダ,50,0,4,すなかけ,26.3
64,ディグダ,50,0,5,どろかけ,25.0
65,ディグダ,50,0,6,ステルスロック,23.7
66,ディグダ,50,0,7,じしん,23.7
67,ディグダ,50,0,8,がんせきふうじ,22.4
68,ディグダ,50,0,9,みがわり,21.1
69,ディグダ,50,0,10,まもる,21.1
70,ダグトリオ,51,0,1,じしん,82.1
71,ダグトリオ,51,0,2,ステルスロック,68.4
72,ダグトリオ,51,0,3,おきみやげ,53.7
73,ダグトリオ,51,0,4,ふいうち,49.8
74,ダグトリオ,51,0,5,がんせきふうじ,45.0
75,ダグトリオ,51,0,6,きしかいせい,27.7
76,ダグトリオ,51,0,7,じわれ,12.7
77,ダグトリオ,51,0,8,つるぎのまい,9.1
78,ダグトリオ,51,0,9,じならし,6.7
79,ダグトリオ,51,0,10,どろかけ,6.1
80,ニャース,52,0,1,ねこだまし,95.3
81,ニャース,52,0,2,イカサマ,76.7
82,ニャース,52,0,3,ちょうはつ,69.8
83,ニャース,52,0,4,ほしがる,65.1
84,ニャース,52,0,5,とんぼがえり,12.8
85,ニャース,52,0,6,じたばた,12.8
86,ニャース,52,0,7,でんじは,12.8
87,ニャース,52,0,8,じゃれつく,11.6
88,ニャース,52,0,9,くさわけ,11.6
89,ニャース,52,0,10,ダメおし,4.7
90,ペルシアン,53,0,1,ねこだまし,77.5
91,ペルシアン,53,0,2,ちょうはつ,36.6
92,ペルシアン,53,0,3,とんぼがえり,24.3
93,ペルシアン,53,0,4,フェイント,22.6
94,ペルシアン,53,0,5,かみつく,21.8
95,ペルシアン,53,0,6,とっておき,18.7
96,ペルシアン,53,0,7,すりかえ,16.8
97,ペルシアン,53,0,8,こごえるかぜ,16.1
98,ペルシアン,53,0,9,みだれひっかき,14.7
99,ペルシアン,53,0,10,でんじは,9.8
100,コダック,54,0,1,ねんりき,42.1
101,コダック,54,0,2,みずでっぽう,37.4
102,コダック,54,0,3,れいとうビーム,28.5
103,コダック,54,0,4,しっぽをふる,25.0
104,コダック,54,0,5,ひっかく,24.2
105,コダック,54,0,6,ハイドロポンプ,22.5
106,コダック,54,0,7,なみのり,17.1
107,コダック,54,0,8,しねんのずつき,16.3
108,コダック,54,0,9,みだれひっかき,15.1
109,コダック,54,0,10,アンコール,12.0
110,ゴルダック,55,0,1,れいとうビーム,64.9
111,ゴルダック,55,0,2,なみのり,50.4
112,ゴルダック,55,0,3,ハイドロポンプ,48.5
113,ゴルダック,55,0,4,アンコール,31.8
114,ゴルダック,55,0,5,わるだくみ,20.7
115,ゴルダック,55,0,6,くさむすび,16.8
116,ゴルダック,55,0,7,あまごい,13.8
117,ゴルダック,55,0,8,アクアジェット,13.6
118,ゴルダック,55,0,9,きあいだま,13.3
119,ゴルダック,55,0,10,テラバースト,13.1
120,マンキー,56,0,1,ちょうはつ,92.0
121,マンキー,56,0,2,ビルドアップ,88.0
122,マンキー,56,0,3,じしん,88.0
123,マンキー,56,0,4,ドレインパンチ,88.0
124,マンキー,56,0,5,ひっかく,8.0
125,マンキー,56,0,6,きあいだめ,8.0
126,マンキー,56,0,7,にらみつける,8.0
127,マンキー,56,0,8,ほしがる,8.0
128,マンキー,56,0,9,ダストシュート,4.0
129,マンキー,56,0,10,カウンター,4.0
130,オコリザル,57,0,1,ふんどのこぶし,91.6
131,オコリザル,57,0,2,ドレインパンチ,73.7
132,オコリザル,57,0,3,ビルドアップ,69.9
133,オコリザル,57,0,4,ちょうはつ,47.1
134,オコリザル,57,0,5,アンコール,30.3
135,オコリザル,57,0,6,ステルスロック,18.9
136,オコリザル,57,0,7,インファイト,12.2
137,オコリザル,57,0,8,かわらわり,5.1
138,オコリザル,57,0,9,どくづき,5.0
139,オコリザル,57,0,10,いのちがけ,4.8
140,ガーディ,58,0,1,あさのひざし,84.8
141,ガーディ,58,0,2,バークアウト,84.8
142,ガーディ,58,0,3,ほのおのうず,69.5
143,ガーディ,58,0,4,あまえる,66.7
144,ガーディ,58,0,5,おにび,20.0
145,ガーディ,58,0,6,こわいかお,15.2
146,ガーディ,58,0,7,フレアドライブ,12.4
147,ガーディ,58,0,8,じゃれつく,12.4
148,ガーディ,58,0,9,インファイト,12.4
149,ガーディ,58,0,10,かみなりのキバ,12.4
150,ウインディ,59,0,1,しんそく,73.2
151,ウインディ,59,0,2,フレアドライブ,68.5
152,ウインディ,59,0,3,じゃれつく,50.3
153,ウインディ,59,0,4,おにび,35.6
154,ウインディ,59,0,5,あさのひざし,35.2
155,ウインディ,59,0,6,インファイト,19.3
156,ウインディ,59,0,7,かみくだく,18.4
157,ウインディ,59,0,8,バークアウト,16.4
158,ウインディ,59,0,9,かえんほうしゃ,14.3
159,ウインディ,59,0,10,テラバースト,12.2
160,ヤドン,79,0,1,あくび,79.3
161,ヤドン,79,0,2,イカサマ,65.1
162,ヤドン,79,0,3,トリックルーム,61.3
163,ヤドン,79,0,4,なまける,43.7
164,ヤドン,79,0,5,たきのぼり,20.7
